"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:07:26 GMT 2021","Fri Aug 13 17:07:59 GMT 2021","33147","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 17:06:41 GMT 2021","Fri Aug 13 17:06:50 GMT 2021","8282","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 17:07:08 GMT 2021","Fri Aug 13 17:07:23 GMT 2021","15687","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"failed","Fri Aug 13 17:08:00 GMT 2021","Fri Aug 13 17:08:23 GMT 2021","23018","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 17:08:26 GMT 2021","Fri Aug 13 17:08:41 GMT 2021","14870","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 17:06:24 GMT 2021","Fri Aug 13 17:06:28 GMT 2021","4067","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 17:06:30 GMT 2021","Fri Aug 13 17:06:39 GMT 2021","8492","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 17:08:55 GMT 2021","Fri Aug 13 17:09:02 GMT 2021","7349","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 17:06:19 GMT 2021","Fri Aug 13 17:06:21 GMT 2021","2071","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 17:07:00 GMT 2021","Fri Aug 13 17:07:05 GMT 2021","5259","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 17:08:43 GMT 2021","Fri Aug 13 17:08:53 GMT 2021","9344","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 17:06:52 GMT 2021","Fri Aug 13 17:06:57 GMT 2021","5318","test","test_conduit_krf","TestConduit","","","test_data_list",""
